model,horizon,forecasts,QLIKE,log_MSE,RMSE,MAE,rank_QLIKE
Elastic_Net,1,4552,-6.5824155791883,5.88561446827214,0.000564025349867974,0.000139421138091226,1
HAR_VIX,1,4552,-6.53896199690387,5.88382480566675,0.000574224585141113,0.000139587356396332,2
Ridge,1,4552,-6.43449277067678,5.91942042194429,0.000563475808318484,0.000140341717123711,3
HAR,1,4552,-5.82642395259988,6.14635871098113,0.000598026081653011,0.000143166253508317,4
HAR_Rates,1,4552,-5.51962194920471,6.17561001328436,0.000602118655029216,0.000143817434806875,5
XGBoost,1,4552,-3.37771680488812,6.21073505259789,0.00060460988156355,0.000145596599626023,6
Random_Forest,1,4552,-2.15028460269968,6.48957714469749,0.000602965130491069,0.00014530496622527,7
Elastic_Net,5,4548,-6.68183158743728,0.783916454693487,0.00190864890438673,0.000518997933695713,1
HAR_VIX,5,4548,-6.67180497729096,0.77905738757193,0.00161871068455503,0.000460308417412009,2
Ridge,5,4548,-6.65707239888673,0.801718787613515,0.00176410325990033,0.000495413845023679,3
HAR,5,4548,-6.50949730228623,0.955578060894339,0.00169311061035559,0.000479517647234797,4
Random_Forest,5,4548,-6.46692578894563,1.03865787062151,0.00179901517184081,0.000539575427537746,5
HAR_Rates,5,4548,-6.45129493081111,0.969892084758377,0.00173499729521163,0.000479905922437731,6
XGBoost,5,4548,-6.43097854650457,0.934628430416468,0.00177372440373168,0.000527076826992849,7
HAR_VIX,10,4543,-5.9165928582448,0.567927575573537,0.00300700248133762,0.000871876963780491,1
Elastic_Net,10,4543,-5.91636065569008,0.583381219704262,0.00342001096932738,0.000984062250696115,2
Ridge,10,4543,-5.89906657079272,0.608551823326952,0.00324763734073603,0.000975785717219412,3
HAR,10,4543,-5.80894541698966,0.713604806395966,0.00304625303768561,0.000910932099943106,4
HAR_Rates,10,4543,-5.74306341248754,0.735821729190602,0.00313604264510295,0.000917388933733427,5
XGBoost,10,4543,-5.70224346204944,0.792495755784915,0.00345035994990641,0.00108971860987405,6
Random_Forest,10,4543,-5.69982999008485,0.849707573024053,0.00327962341667403,0.00107940109047236,7
HAR_VIX,22,4531,-4.94643130549219,0.527487811968024,0.00655559429637707,0.00200585799455512,1
Elastic_Net,22,4531,-4.9162034081311,0.578769865263157,0.00799889771624258,0.0025290057860483,2
HAR,22,4531,-4.90209448021419,0.625564666967471,0.00635796070181339,0.00204902605257222,3
Ridge,22,4531,-4.89975275126038,0.615692943681937,0.00728648750692907,0.00247907804649753,4
HAR_Rates,22,4531,-4.77988920016477,0.677885983051348,0.00663139357411922,0.00214891345841447,5
XGBoost,22,4531,-4.53185250524955,0.911428215452142,0.00770800717253405,0.00277159309003142,6
Random_Forest,22,4531,-4.42304222506257,0.997087389503506,0.00742105082728435,0.00270533451611455,7
