regime,model,horizon,forecasts,QLIKE
high_vix,Elastic_Net,1,1574,-5.54370805097171
high_vix,HAR,1,1574,-4.20508474091636
high_vix,HAR_Rates,1,1574,-3.96035125721463
high_vix,HAR_VIX,1,1574,-5.58159883721406
high_vix,Random_Forest,1,1574,1.27873842974729
high_vix,Ridge,1,1574,-5.42404486190192
high_vix,XGBoost,1,1574,2.21395243438505
rapid_tightening,Elastic_Net,1,150,-5.98846688682431
rapid_tightening,HAR,1,150,-5.066316583265
rapid_tightening,HAR_Rates,1,150,-5.31187347575018
rapid_tightening,HAR_VIX,1,150,-5.1537638731816
rapid_tightening,Random_Forest,1,150,-4.61354918765585
rapid_tightening,Ridge,1,150,-5.80440784575792
rapid_tightening,XGBoost,1,150,-5.28299775313337
equity_drawdown,Elastic_Net,1,1084,-4.72752837769101
equity_drawdown,HAR,1,1084,-3.44869746809887
equity_drawdown,HAR_Rates,1,1084,-2.9618812901841
equity_drawdown,HAR_VIX,1,1084,-4.59855712259997
equity_drawdown,Random_Forest,1,1084,5.21986561297619
equity_drawdown,Ridge,1,1084,-4.52767012095865
equity_drawdown,XGBoost,1,1084,6.32288755376949
inflation_shock,Elastic_Net,1,661,-6.00560737777806
inflation_shock,HAR,1,661,-4.83326430922445
inflation_shock,HAR_Rates,1,661,-4.7048122328187
inflation_shock,HAR_VIX,1,661,-5.58406659476718
inflation_shock,Random_Forest,1,661,3.88904507348988
inflation_shock,Ridge,1,661,-5.82735586845078
inflation_shock,XGBoost,1,661,9.73801653682479
growth_slowdown,Elastic_Net,1,2077,-6.49164708027262
growth_slowdown,HAR,1,2077,-5.55465211911938
growth_slowdown,HAR_Rates,1,2077,-5.28108068401351
growth_slowdown,HAR_VIX,1,2077,-6.54847687787689
growth_slowdown,Random_Forest,1,2077,-1.02166555301217
growth_slowdown,Ridge,1,2077,-6.31951318279203
growth_slowdown,XGBoost,1,2077,-0.844888359711222
high_vix,Elastic_Net,5,1574,-5.6647344340902
high_vix,HAR,5,1574,-5.51125531621708
high_vix,HAR_Rates,5,1574,-5.42680503488186
high_vix,HAR_VIX,5,1574,-5.67645767897054
high_vix,Random_Forest,5,1574,-5.30202897963217
high_vix,Ridge,5,1574,-5.63525389411742
high_vix,XGBoost,5,1574,-5.06984290018262
rapid_tightening,Elastic_Net,5,150,-5.94259786239167
rapid_tightening,HAR,5,150,-5.83342780235221
